ObsID,Time,CM1,CM2,CM3,Telescope,FL,Camera,Seeing,Transparency,File Name
ObsID,2022-07-25 15:55:11,212.9,309.2,223.0,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-07-25-1555_2-Jupiter_5micron.fits
ObsID,2022-07-26 15:39:14,1.1,89.9,3.9,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-07-26-1539_2-Jupiter_5micron.fits
ObsID,2022-08-17 11:13:11,74.5,356.8,276.7,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-17-1113_2-Jupiter_5micron.fits
ObsID,2022-08-17 12:09:12,108.6,30.7,310.5,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-17-1209_2-Jupiter_5micron.fits
ObsID,2022-08-17 13:56:21,174.0,95.5,15.3,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-17-1356_4-Jupiter_5micron.fits
ObsID,2022-08-17 16:07:14,253.8,174.5,94.4,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-17-1607_2-Jupiter_5micron.fits
ObsID,2022-08-18 11:18:54,236.0,150.6,70.8,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-18-1118_9-Jupiter_5micron.fits
ObsID,2022-08-18 12:39:32,285.1,199.3,119.5,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-18-1239_5-Jupiter_5micron.fits
ObsID,2022-08-18 14:21:38,347.4,261.1,181.2,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-18-1421_6-Jupiter_5micron.fits
ObsID,2022-08-18 15:53:17,43.3,316.5,236.7,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-08-18-1553_3-Jupiter_5micron.fits
ObsID,2022-09-03 10:40:11,220.7,13.5,297.9,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-03-1040_2-Jupiter_5micron.fits
ObsID,2022-09-03 11:18:20,244.0,36.5,320.9,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-03-1118_3-Jupiter_5micron.fits
ObsID,2022-09-29 05:44:25,189.3,145.3,76.5,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-0544_4-Jupiter_5micron.fits
ObsID,2022-09-29 05:55:15,196.0,151.8,83.1,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-0555_3-Jupiter_5micron.fits
ObsID,2022-09-29 07:08:32,240.6,196.1,127.3,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-0708_5-Jupiter_5micron.fits
ObsID,2022-09-29 09:28:41,326.1,280.8,212.1,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-0928_7-Jupiter_5micron.fits
ObsID,2022-09-29 10:55:02,18.7,333.0,264.3,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-1055_0-Jupiter_5micron.fits
ObsID,2022-09-29 12:50:12,88.9,42.6,333.9,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2022-09-29-1250_2-Jupiter_5micron.fits
ObsID,2023-10-14 11:18:16,234.8,169.6,202.0,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-14-1118_3-Jupiter_5micron.fits
ObsID,2023-10-14 12:40:29,285.0,219.3,251.7,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-14-1240_5-Jupiter_5micron.fits
ObsID,2023-10-14 14:53:01,5.8,299.4,331.8,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-14-1453_0-Jupiter_5micron.fits
ObsID,2023-10-15 10:41:36,10.5,297.8,330.5,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-15-1041_6-Jupiter_5micron.fits
ObsID,2023-10-15 12:01:54,59.5,346.4,19.0,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-15-1201_9-Jupiter_5micron.fits
ObsID,2023-10-15 14:32:48,151.5,77.6,110.3,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-15-1432_8-Jupiter_5micron.fits
ObsID,2023-10-15 15:19:06,179.7,105.6,138.3,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2023-10-15-1519_1-Jupiter_5micron.fits
ObsID,2024-02-05 00:19:18,193.3,341.8,44.4,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2024-02-05-0019_3-Jupiter_5micron.fits
ObsID,2024-02-05 01:28:17,235.4,23.5,86.1,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2024-02-05-0128_3-Jupiter_5micron.fits
ObsID,2024-02-05 03:53:37,324.0,111.3,173.9,NASA IRTF,FL,SpeX Imager,Seeing,Transparency,2024-02-05-0353_6-Jupiter_5micron.fits
