Wavelength (nm),Filter Name,k_eff (NH3),l_eff (NH3),k_eff (CH4),l_eff (CH4),Telescope, ContModel,Transmission,Tau,EW (nm),N[NH3],N[CH4],Pres (mb),f(NH3)
620,620CH4,0.03307548750274638,618.4842679530478,0.42700673897661084,618.4842679530478,SCT,Spline1,0.8804500278965115,0.1273221068909715,  ,3849.4400688848345,298.173530460243,0.9368228851756345,-
632,632OI,0.10304405157540276,630.8009280146642,0.019199600372477976,630.8009280146642,SCT,Spline1,0.9926704222166607,0.0073565711192979605,  ,71.39248706573586,383.1627209201382,1.2038479913025402,-
647,647NH3,2.9545604612278296,646.5585773346381,0.027802721133820135,646.5585773346381,SCT,Spline1,0.9595108992341038,0.04133160431374615,  ,13.989087329954295,1486.602844189558,4.670714947280203,8.491782630112887e-05
656,656HIA,0.47859835944377804,657.1345907879257,0.07852734737322929,657.1345907879257,SCT,Spline1,0.9910552491924627,0.008984995255153692,  ,18.773560497775126,114.41867776902345,0.3594887703818162,-
620,620CH4,0.03307548750274638,618.4842679530478,0.42700673897661084,618.4842679530478,SCT,Spline2,0.8779124276524061,0.13020843103625573,  ,3936.704818801055,304.93296510570497,0.9580601595136466,-
632,632OI,0.10304405157540276,630.8009280146642,0.019199600372477976,630.8009280146642,SCT,Spline2,0.992448067002556,0.00758059322804586,  ,73.56652918969068,394.8307819423368,1.2405075384271596,-
647,647NH3,2.9545604612278296,646.5585773346381,0.027802721133820135,646.5585773346381,SCT,Spline2,0.9397541122807584,0.06213702061684841,  ,21.03088477364449,2234.925866348489,7.0218496425034385,0.00012483367099093727
656,656HIA,0.47859835944377804,657.1345907879257,0.07852734737322929,657.1345907879257,SCT,Spline2,0.9633924101310128,0.03729446302857903,  ,77.92434364363945,474.92325000262343,1.4921477725326464,-
620,620CH4,0.03307548750274638,618.4842679530478,0.42700673897661084,618.4842679530478,SCT,Piecewise1,0.8801155328399481,0.12770209280918773,  ,3860.9285138604278,299.0634131799559,0.9396187822348488,-
632,632OI,0.10304405157540276,630.8009280146642,0.019199600372477976,630.8009280146642,SCT,Piecewise1,0.9933843128661997,0.0066376677903266295,  ,64.41582690942134,345.71905985301225,1.08620482378764,-
647,647NH3,2.9545604612278296,646.5585773346381,0.027802721133820135,646.5585773346381,SCT,Piecewise1,0.9554907073156804,0.045530240816731064,  ,15.410157082319452,1637.6181524673352,5.145185624097501,9.326578608334976e-05
656,656HIA,0.47859835944377804,657.1345907879257,0.07852734737322929,657.1345907879257,SCT,Piecewise1,0.9891786454720909,0.010880331242690035,  ,22.733741200732574,138.55467689462844,0.4353209755495405,-
620,620CH4,0.03307548750274638,618.4842679530478,0.42700673897661084,618.4842679530478,SCT,Piecewise2,0.8764051323627904,0.13192681509039839,  ,3988.6582194576577,308.9572202222893,0.9707038515381605,-
632,632OI,0.10304405157540276,630.8009280146642,0.019199600372477976,630.8009280146642,SCT,Piecewise2,0.9918478251241349,0.008185585557174609,  ,79.43773009725635,426.3414549455096,1.3395100204754258,-
647,647NH3,2.9545604612278296,646.5585773346381,0.027802721133820135,646.5585773346381,SCT,Piecewise2,0.9397991042936548,0.062089145395749945,  ,21.01468093495961,2233.203904643085,7.01643946028328,0.00012311274831159553
656,656HIA,0.47859835944377804,657.1345907879257,0.07852734737322929,657.1345907879257,SCT,Piecewise2,0.9647584751647599,0.0358774937729773,  ,74.96367897013634,456.8789723974335,1.4354549729373514,-
620,620CH4,0.03307548750274638,618.4842679530478,0.42700673897661084,618.4842679530478,SCT,Linear 2pt.,0.8688427014900125,0.140593181044802,  ,4250.676003887412,329.25283891714633,1.0344700752964955,-
632,632OI,0.10304405157540276,630.8009280146642,0.019199600372477976,630.8009280146642,SCT,Linear 2pt.,0.991477049779881,0.008559478259540112,  ,83.06620448902565,445.8154385239109,1.4006947723667855,-
647,647NH3,2.9545604612278296,646.5585773346381,0.027802721133820135,646.5585773346381,SCT,Linear 2pt.,0.9554907073156804,0.045530240816731064,  ,15.410157082319452,1637.6181524673352,5.145185624097501,8.471418017451654e-05
656,656HIA,0.47859835944377804,657.1345907879257,0.07852734737322929,657.1345907879257,SCT,Linear 2pt.,0.9927685427004236,0.00725773102843989,  ,15.164554757092667,92.42297455872193,0.2903810997205898,-
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,VLT,Spline1,0.8707724108531143,0.13837463265337296,  ,3982.8164265276855,304.65824553455263,0.9571970259522473,-
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,VLT,Spline1,0.9963632494030162,0.003643379651461648,  ,31.92861400206584,340.184841406316,1.0688170211734256,-
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,VLT,Spline1,0.9568893461783903,0.044067519942262434,  ,14.082922961952198,1564.8282637405096,4.916489155086916,8.366781774249577e-05
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,VLT,Spline1,0.9933137095164206,0.0067087438663214006,  ,15.00144981460401,98.2156664481127,0.30858099264997285,-
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,VLT,Spline2,0.8688213115196436,0.1406178002694736,  ,4047.381185671368,309.5970084946181,0.9727139840078652,-
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,VLT,Spline2,0.9957676595384226,0.0042413221658473815,  ,37.16865966395223,396.01514153570287,1.244228643951282,-
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,VLT,Spline2,0.9368329827610761,0.06525025941803295,  ,20.852418693757254,2317.022838760102,7.279787771485303,0.00012190969809179127
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,VLT,Spline2,0.9650961403128067,0.03552755533846055,  ,79.44331294581421,520.1215897294982,1.6341551430820085,-
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,VLT,Piecewise1,0.8706361249608595,0.13853115639806604,  ,3987.3216261408747,305.0028625248802,0.9582797682153212,-
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,VLT,Piecewise1,0.9969656032821851,0.003039009833915272,  ,26.63224292220987,283.7544195999318,0.8915198932669507,-
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,VLT,Piecewise1,0.9527393647450779,0.04841390198259575,  ,15.471922468106031,1719.1673658873715,5.401402764774073,9.181612079128442e-05
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,VLT,Piecewise1,0.9907525008475387,0.009290522718423413,  ,20.774576148528475,136.0127765530008,0.42733465158511325,-
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,VLT,Piecewise2,0.8673093188566632,0.14235959667440945,  ,4097.515051974906,313.43190674605864,0.9847627411149236,-
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,VLT,Piecewise2,0.9952650303547596,0.004746215126060322,  ,41.59326922461993,443.15734136884384,1.3923433729583827,-
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,VLT,Piecewise2,0.9368886286377582,0.06519086331953038,  ,20.833437124552812,2314.9136959307684,7.273161115968383,0.00012030849566949765
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,VLT,Piecewise2,0.9663707329690224,0.03420773685348699,  ,76.49206139094245,500.79951473674777,1.57344766843009,-
620,620CH4,0.034742909999999995,619.75,0.45419624999999975,619.75,VLT,Linear 2pt.,0.8605205470581625,0.1502177855701076,  ,4323.696131674279,330.7332140459277,1.0391212235628977,-
632,632OI,0.1141101725,631.75,0.01071000000000001,631.75,VLT,Linear 2pt.,0.9956550077080057,0.004354459203393301,  ,38.160131634130174,406.5788238462462,1.2774183751959256,-
647,647NH3,3.1291458500000005,646.75,0.02816125000000001,646.75,VLT,Linear 2pt.,0.9527393647450779,0.04841390198259575,  ,15.471922468106031,1719.1673658873715,5.401402764774073,8.467301885012093e-05
656,656HIA,0.44720636666666674,656.25,0.06830625000000003,656.25,VLT,Linear 2pt.,0.9934239074923085,0.006597810268389354,  ,14.753390738972081,96.5916042586052,0.30347839811808847,-
