Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,-4,38,1714.687744140625,120.12620544433594
xyfnh3max,2,-3,44,1671.66552734375,117.35472869873047
xyfnh3max,3,7,55,1882.4725341796875,134.0313262939453
xyfnh3max,4,-3,63,1835.656982421875,122.67738342285156
xyfnh3max,5,6,76,1828.6051025390625,131.391845703125
xyfnh3max,6,-3,81,1779.2030029296875,127.77206420898438
xyfnh3max,7,4,96,1903.0440673828125,150.23780822753906
xyfnh3max,8,3,101,1849.555908203125,151.5368194580078
xyfnh3max,9,4,118,1889.0318603515625,126.56713104248047
xyfnh3max,10,2,128,1872.249755859375,137.4943084716797
xyfnh3max,11,1,137,1938.4608154296875,140.12242126464844
xyfnh3max,12,-3,147,1897.9400634765625,132.48045349121094
xyfnh3max,13,6,205,1554.264892578125,124.31425476074219
xyfnh3max,14,-3,207,1580.744140625,109.32984924316406
xyfnh3max,15,6,213,1613.2532958984375,122.48246002197266
xyfnh3max,16,7,228,1755.6260986328125,126.05631256103516
xyfnh3max,17,-10,238,1958.0333251953125,117.75548553466797
xyfnh3max,18,6,260,1928.37548828125,137.4518280029297
xyfnh3max,19,5,273,1890.5535888671875,142.437744140625
xyfnh3max,20,2,288,1764.2164306640625,128.8834686279297
xyfnh3max,21,5,295,1727.787353515625,133.36009216308594
xyfnh3max,22,4,302,1718.944091796875,128.394775390625
xyfnh3min,1,-1,39,1627.8631591796875,101.7085952758789
xyfnh3min,2,-2,51,1679.784423828125,98.44375610351562
xyfnh3min,3,-8,58,1890.8162841796875,104.8375244140625
xyfnh3min,4,-3,73,1759.52783203125,105.07423400878906
xyfnh3min,5,-3,203,1558.662353515625,88.40238189697266
xyfnh3min,6,1,208,1541.6136474609375,92.24288177490234
xyfnh3min,7,-7,212,1708.7413330078125,88.03074645996094
xyfnh3min,8,0,238,1636.1673583984375,93.87711334228516
xyfnh3min,9,-6,247,1786.3665771484375,91.36881256103516
xyfnh3min,10,-6,265,1831.25830078125,97.5033187866211
xyfnh3min,11,-7,270,1837.1478271484375,98.30398559570312
xyfnh3min,12,-7,287,1782.442626953125,87.20026397705078
xyfnh3min,13,-7,307,1795.9119873046875,97.21002197265625
xyPcldmax,1,-8,42,1828.6077880859375,115.57379913330078
xyPcldmax,2,8,55,1938.2130126953125,127.34280395507812
xyPcldmax,3,-8,60,1912.08154296875,114.65850830078125
xyPcldmax,4,-7,69,1940.2474365234375,114.10951232910156
xyPcldmax,5,10,74,1942.033935546875,111.82872772216797
xyPcldmax,6,-4,85,1819.2825927734375,116.39966583251953
xyPcldmax,7,-10,94,1846.4798583984375,112.31781005859375
xyPcldmax,8,6,97,1962.5084228515625,142.3759765625
xyPcldmax,9,-3,107,1865.24072265625,118.849609375
xyPcldmax,10,3,118,1900.3333740234375,126.27739715576172
xyPcldmax,11,-4,121,1867.322998046875,116.19409942626953
xyPcldmax,12,4,127,1937.6937255859375,124.71898651123047
xyPcldmax,13,-10,127,1870.107666015625,95.56970977783203
xyPcldmax,14,5,139,2020.2078857421875,132.6493682861328
xyPcldmax,15,-5,147,1928.402099609375,122.257568359375
xyPcldmax,16,10,225,1937.7235107421875,94.47716522216797
xyPcldmin,1,9,35,1592.415283203125,92.25090789794922
xyPcldmin,2,1,38,1575.145751953125,114.52437591552734
xyPcldmin,3,0,46,1600.48193359375,114.02827453613281
xyPcldmin,4,1,61,1694.63623046875,117.8012466430664
xyPcldmin,5,7,70,1711.48291015625,106.95555877685547
xyPcldmin,6,-1,73,1718.135986328125,108.42925262451172
xyPcldmin,7,1,86,1712.912109375,126.11497497558594
xyPcldmin,8,10,89,1742.2332763671875,95.25325775146484
xyPcldmin,9,-3,95,1768.4014892578125,120.2121353149414
xyPcldmin,10,11,106,1717.46142578125,78.75830078125
xyPcldmin,11,-2,113,1749.470703125,109.6531753540039
xyPcldmin,12,11,116,1589.60791015625,53.450687408447266
xyPcldmin,13,10,127,1606.1961669921875,57.03314208984375
xyPcldmin,14,-7,132,1737.252197265625,103.7851791381836
xyPcldmin,15,11,149,1538.8692626953125,61.64653396606445
xyPcldmin,16,3,203,1490.68359375,115.1117172241211
xyPcldmin,17,2,208,1503.8704833984375,96.59857940673828
xyPcldmin,18,-2,215,1543.1981201171875,98.98419952392578
xyPcldmin,19,3,239,1621.2001953125,100.8418960571289
xyPcldmin,20,-4,283,1628.7032470703125,98.82832336425781
xyPcldmin,21,-3,294,1620.3609619140625,101.43536376953125
xyPcldmin,22,2,317,1542.4788818359375,101.82512664794922
