Index,MeanTime_FITS,MeanTime_JD,Lat,Lon,Row,Col,NH3_value,PCloud_value,RGB_value
0,0.0,0.0,4,10,11,350,125.91745886884183,1809.1950060259667,0.5890042536398944
1,0.0,0.0,-4,13,19,347,107.84360777747773,1795.317252117687,0.6764706075191498
2,0.0,0.0,-5,26,20,334,108.0702689114452,1827.1749269054785,0.6959477305412293
3,0.0,0.0,6,29,9,331,87.75148351892747,1645.7786173002664,0.6711111307144165
4,0.0,0.0,-5,40,20,320,104.2451297298755,1853.1446136784832,0.7199107452136714
5,0.0,0.0,5,45,10,315,140.44475599888636,1664.3918066096032,0.6699346601963043
6,0.0,0.0,-4,58,19,302,106.47027686170257,1820.5147349970603,0.744662324587504
7,0.0,0.0,6,77,9,283,87.62377550440924,1743.9396150113027,0.7452614530920982
8,0.0,0.0,-5,79,20,281,102.95636814694589,1941.8494929211836,0.6757236421108246
9,0.0,0.0,5,292,10,68,149.2273985847825,1753.2593393602597,0.6836601495742798
10,0.0,0.0,-4,299,19,61,117.36192035432778,1901.785446365502,0.8290196180343629
11,0.0,0.0,6,301,9,59,123.26734692058888,1797.7382186518105,0.7081699520349503
12,0.0,0.0,-5,310,20,50,118.83351121681577,1881.2330759935926,0.8392156958580017
13,0.0,0.0,7,311,8,49,105.62644705047875,1732.6722798511187,0.7712418437004089
14,0.0,0.0,6,326,9,34,128.81290130432362,1755.7555564867914,0.7904139558474222
15,0.0,0.0,-4,334,19,26,111.09297815295548,1872.9767381151116,0.8183006644248962
16,0.0,0.0,5,337,10,23,122.68965658162996,1869.0922771661171,0.7450980544090271
17,0.0,0.0,6,346,9,14,117.39227130243069,1811.367230742051,0.744662324587504
18,0.0,0.0,-4,347,19,13,110.16494125697979,1895.0694576779003,0.8339869379997253
