9.8717,8.6212,7.5291,6.5754,5.7424,5.015
4.3798,3.825,3.3404,2.9173,2.5477,2.225
1.9432,1.697,1.482,1.2943,1.1304,0.98717
0.86212,0.75291,0.65754,0.57424,0.5015,0.43798
0.3825,0.33404,0.29173,0.25477,0.2225,0.19432
0.1697,0.1482,0.12943,0.11304,0.098717,0.086212
0.075291,0.065754,0.057424,0.05015,0.043798,0.03825
0.033404,0.029173,0.025477,0.02225,0.019432,0.01697
0.01482,0.012943,0.011304,0.0098717,0.0086212,0.0075291
0.0065754,0.0057424,0.005015,0.0043798,0.003825,0.0033404
0.0029173,0.0025477,0.002225,0.0019432,0.001697,0.001482
0.0012943,0.0011304,0.00098717,0.00086212,0.00075291,0.00065754
0.00057424,0.0005015,0.00043798,0.0003825,0.00033404,0.00029173
0.00025477,0.0002225,0.00019432,0.0001697,0.0001482,0.00012943
0.00011304,9.87E-05,8.62E-05,7.53E-05,6.58E-05,5.74E-05
5.02E-05,4.38E-05,3.83E-05,3.34E-05,2.92E-05,2.55E-05
2.23E-05,1.94E-05,1.70E-05,1.48E-05,1.29E-05,1.13E-05
9.87E-06,8.62E-06,7.53E-06,6.58E-06,5.74E-06,5.02E-06
4.38E-06,3.83E-06,3.34E-06,2.92E-06,2.55E-06,2.23E-06
1.94E-06,1.70E-06,1.48E-06,1.29E-06,1.13E-06,9.87E-07
